title,index
"
                    Wanda Maximoff 1989 Sweatshirt, Wanda Sweater, Scarlet Witch Sweater, Marvel WandaVision, Wanda Vision TV Series, Marvel fan gift, MCU
                ",0
"
                    Bucky Barnes (Bucky Barnes) Secret Archives (S.H.I.E.L.D.) Winter Soldier Archive Collection Card, Fan Paper Props, Marvel Movie Peripherals
                ",1
"
                    Set of 4-8 Sets of Superhero Marvel / DC Cufflinks with Kraft Gift Cards: Thor, Spiderman, Captain America, Iron Man, Batman
                ",2
"
                    MCU Periodic Table Poster | Marvel Poster | Avengers Endgame | Guardians of the Galaxy | Thor | Iron Man
                ",3
"
                    All Marvel MCU Phase 1, 2, 3 Posters All N 1 Canvas Print
                ",4
"
                    Marvel Movie Poster Print Packs (6x4inch)
                ",5
"
                    Minimalist Aesthetic Marvel Cinematic Universe Characters Poster Print Pack For Wall Collages - Set Of 20
                ",6
"
                    Mystery mini marvel character box
                ",7
"
                    Colorful stone bracelet,Marvel Bracelet , Thaos, The Avengers,Geek jewelry
                ",8
"
                    Vintage Marvel Unisex Sweatshirt, Hoodie, Marvel Sweatshirt, Gift for Her, Movie Shirt, Fan Art Drawing, Father Day Gift, Marvel Hoodie
                ",9
"
                    Marvel inspired necklaces
                ",10
"
                    Marvel Stickers
                ",11
"
                    Marvel's The Avengers rings, Loki crown ring, Couple Ring, Superhero Ring, marvel rings, Open ring, Can be adjusted, suitable for everyone
                ",12
"
                    Avengers Marvel Keyrings/Keychains | cartoon guardians of galaxt s dc comic spiderman hulk end game
                ",13
"
                    Vintage Marvel Sweatshirt, Marvel Comics Shirts, Eternals Marvel, Fan Art Drawing, Marvel Hoodie, Avengers, Loki Shirt
                ",14
